id;text
ID002;Добрый день, Никита. Благодарю Вас!
ID002;Добрый день, Элена. Я разделяю Ваше видение значимости мгновенного осуществления онлайн-расчетов как драйвер одного из приоритетов нашей стратегии (рост NPS до 85). При этом хотел бы обратить внимание на профессионализм и значимость для компании нашего IT-директора. Допускаю, что между вами просто произошло недопонимание. Разумеется, задачу нужно брать в работу, ответственным за ее реализацию будет Майк. Можете на собрании сказать, что вопрос согласован со мной.
ID002;Добрый день, Герасим. Спасибо за информацию.
ID002;-
ID002;Добрый день, Нелли. Оба кандидата достойные и имеют подходящий для вакансии профиль. При этом стоит отметить ряд значимых факторов. Paruc является нашим конкурентом, в особенности на стратегическом азиатском рынке.  Александр имеет опыт развертывания филиальной сети с нуля, а также обеспечил рост клиентской базы и вывод новых продуктов на рынок. Что касается Валерии, то, безусловно, CobotHome является нашим ключевым юнитом и приносит более 50% выручки, но есть опасения, что кандидат не сможет «отмасштабироваться» на весь объем нашего бизнеса. Прошу назначить собеседование с Александром
ID002;Добрый день, Елизавета. Полагаю, что принципиальное решение о выходе на рынок Австралии уже принято, необходимые документы подписаны. В таком случае, я бы предложил начать экспансию со штата Виктория. Тому есть несколько причин: во-первых, приемлемый уровень конкуренции. Из международных игроков - только Paruc Второе - стабильный прирост населения и средний доход на душу населения. Третье - доля людей пенсионного возраста, которые являются основными пользователями продукции CobotHome. Всплеск смертности в Квинсленде снижает на текущий момент инвестиционных привлекательность данного штата, но перспективы для выхода на их рынок стоит иметь в виду и заложить в план развития бизнеса в регионе.
ID002;Добрый день. Предлагаю олимпиаду разработать совместно с нашим партнером University Federation Keln. Хорошая идея, учитывая старение работоспособного населения, дополнительный приток перспективной молодежи нам не помешает!
ID002;Предлагаю направить Дайрона с целью развития навыков позитивного восприятия изменений.
ID002;Добрый день, уважаемые коллеги. Поддерживаю Максима в его оценке значимости проекта для всей группы компаний Cobots. Нам нужно смотреть на перспективу и выгодно отличаться от конкурентов, которые масштабно внедряют VR-технологии, в том числе комбинируя их с традиционными тематическими заведениями. Также напомню о приоритете компании по повышению удовлетворенности клиентов и нару цель по технологическому лидерству. Для принятия решения хотелось бы дополнительно получить аргументированные позиции и Мирослава, и Герасима, а также понять сроки окупаемости проекта и влияние на Cost-Income ratio.
ID002;Добрый день, Евгения. Благодарю
ID002;Добрый день. Прошу направить подробную информацию, в чем заключается риск и привлечь для юридической экспертизы Андрея Кудринского. Окончательное решение будет принято по итогам проведенного анализа.
ID002;Добрый день. Считаю, что нужно отдать предпочтение Евгению как внутреннему кандидату, поскольку кибербезопасность является нашим ключевым приоритетом и возможные риски могут повлечь отзыв лицензии. Внутренний кандидат лучше ориентируется в архитектуре, имеет опыт и хорошее образование. Safeme является нашим подрядчиком и оказывает ряд услуг, поэтому предлагаю оставить отношения с ними в текущем статусе. Приглашайте на собеседование Евгения.
ID002;Полагаю, что репутационные риски несопоставимы со стоимостью вышедшего из строя кобота, а также ремонта. Также напомню про NPS. Предлагаю урегулировать внесудебно. Андрей, прошу оперативно подготовить соответствующее соглашение, а также обязательство о неразглашении для подписания клиентом.
ID002;Полагаю, что к вопросу коучинга следует вернуться несколько позднее. На данном этапе критически важно обеспечить мою адаптацию в новой роли и решение срочных задач. Прошу вернуться с данным предложением через месяц.
ID002;-
ID002;Добрый день. Сокращение текучести, в особенности в юнитах, генерирующих такую долю в выручке группы, является приоритетом нашей Стратегии до 2053 года. Прошу запланировать на четверг (первая половина дня) совместную встречу со с HRD и директором по вознаграждениям для обсуждения путей решения. За сутки до встречи прошу направить в мой адрес соответствующие предложения и результаты прошлого опроса по вовлеченности и ENPS в разрезе бизнес-юнитов.
ID002;Добрый день. Спасибо, Светлана
ID002;-
ID002;-
ID002;Если команда поддерживает - этого достаточно. Я видел ряд публикаций негативного содержания и осознаю ответственность за сохранение дела Никиты. Светлана, в рамках отработки негативных публикаций предлагаю формировать образ компании не через публикации ответных комментариев, а отдельные тематические пресс-конференции, посвященные нашей команде, результатам и продукции. Предлагаю в пятницу обсудить периодичность, формат и наполнение таких конференций. Выставите встречу в Календарь.
ID002;-
ID002;Добрый день. Предлагаю оперативно заменить схемы аналогами, выставить контрагенту неустойку за нарушение условий договора.
ID002;-
ID002;Добрый день. Полагаю, что это может повысить наш ENPS. В целом проект согласовываю. Но нужно убедиться, что в соответствующую смету на текущий год заложены расходы в необходимом объеме. Марина, прошу проанализировать, можем ли мы позволить себе реализацию данного проекта в текущем году. Если в смету не заложены расходы, предлагаю перенести проект на будущий год. В этом году анонсируем событие для наших сотрудников и подпишем обязывающие документы с подрядчиком.
ID002;Предлагаю собрать пресс-конференцию с ведущими СМИ, провести для них экскурсию по нашему офису, а также рассказать о высоких стандартах безопасности и соответствия требованиям регуляторов. Также постараюсь сегодня уделить внимание этому вопросу в рамках интервью.
ID002;"Максим, ниже тезисно предложения: - ужесточение требований по степени локализации (остальной мир не стесняется пользоваться протекционистскими мерами); - законодательное закрепление требований по переработке для производителей коботов (сейчас наша продукция на 90% состоит из вторично переработанных материалов); - защита от необоснованных претензий (например, в случае, если в рамках очеловечивания кобот-андроид станет очень похож на реального человека). Предлагаю, чтобы максимальной санкцией в подобной ситуации был принудительный редизайн без финансовых штрафов; - продление государственной программы субсидирования малого и среднего бизнеса до 2055 года; - закрепление в законе требований по доле возобновляемой энергии, используемой в производстве."
ID002;Добрый день, Калерия. Вы совершенно правы, что отмечаете перспективность проекта, но для принятия решения необходима дополнительная информация и ответы на вопросы. Почему Вы предлагаете принять людей в штат, вместо аутсорсинга? Могут ли перечисленные вами бизнес-функции исполняться на местах сотрудниками CobotHome или CobotBusiness? Чем принятые в штат сотрудники будут заняты после окончания развертывания новой системы?
ID002;Решите самостоятельно. Для принятия объективного решения можете провести анкетирование сотрудников
